order_id,customer_name,date,gender,email,phone_number,category,price,quantity,customer_rating,month,sales
ORD-00075,Hilda Barrios,06/17/2026,Female,hilda.barrios92@gmail.com,(504) 213-8980,Home,77.56,8,2.3,June,620.48
ORD-00076,Jhann Roberson,06/17/2026,Male,Invalid email,(909) 650-6706,Electronics,353.67,8,2.8,June,2829.36
ORD-00077,Unkown Unkown,06/17/2026,-,renato.olsen88@gmail.com,(810) 443-5464,Toys,353.9,5,3.5,June,1769.5
ORD-00078,Nelson Akba,06/18/2026,Male,nelson.akbaş68@icloud.com,(410) 292-4321,Home,308.55,5,0.0,June,1542.75
ORD-00079,Raphal Bgot,06/18/2026,-,raphaël.bégot92@gmail.com,(970) 489-7260,Beauty,480.53,5,2.3,June,2402.65
ORD-00081,Mwanaidi Mathew,06/18/2026,-,mwanaidi.mathew61@gmail.com,(765) 946-8441,Clothing,249.78,10,1.5,June,2497.8
ORD-00082,Namiq Silva,06/18/2026,-,namiq.silva84@icloud.com,(616) 968-0928,Electronics,448.35,10,2.2,June,4483.5
ORD-00083,Sok Francis,06/19/2026,-,sok.francis3@gmail.com,(918) 214-0502,Not Known,49.47,9,4.1,June,445.23
ORD-00084,Hawa Muchiri,06/19/2026,Female,hawa.muchiri35@hotmail.com,(602) 962-4885,Home,231.29,5,3.9,June,1156.45
ORD-00085,Domingo Turk,06/19/2026,-,domingo.turk33@aol.com,Unknown,Clothing,205.21,8,1.0,June,1641.68
ORD-00086,Sulaiman Querrard,06/19/2026,-,Invalid email,(814) 877-0341,Clothing,16.62,5,2.5,June,83.1
ORD-00087,Asdkjh,06/19/2026,Male,huthaifa.santoro71@gmail.com,(646) 432-0961,Beauty,276.74,1,4.4,June,276.74
ORD-00088,Ulugbek Marksdttir,06/19/2026,Male,ulugbek.markúsdóttir66@gmail.com,(202) 769-6074,Not Known,489.03,8,3.9,June,3912.24
ORD-00089,Zahra Nichols,06/20/2026,Female,zahra.nichols80@aol.com,(727) 235-0011,Home,87.54,7,4.7,June,612.78
ORD-00090,Bartomiej Vujovi,06/20/2026,Male,bartłomiej.vujović66@icloud.com,(813) 873-5285,Not Known,343.48,4,1.8,June,1373.92
ORD-00091,Hortnsia Kralj,06/20/2026,Female,horténsia.kralj11@outlook.com,(407) 877-7412,Not Known,458.45,10,4.5,June,4584.5
ORD-00092,Tamer Maono,06/20/2026,-,tamer.maono90@icloud.com,(304) 481-2549,Not Known,22.6,3,0.0,June,67.8
ORD-00094,Cosmin Henderson,06/21/2026,-,cosmin.henderson78@aol.com,(617) 463-0043,Grocery,147.88,7,1.1,June,1035.16
ORD-00095,Teresa Cajar,06/21/2026,-,teresa.cajar49@icloud.com,(203) 596-7790,Grocery,239.4,5,2.8,June,1197.0
ORD-00096,Haile Julius,06/21/2026,Male,haile.julius52@hotmail.com,Unknown,Electronics,128.49,9,4.0,June,1156.41
ORD-00097,Blessing Halldrsdttir,06/21/2026,Female,blessing.halldórsdóttir10@gmail.com,(617) 876-3777,Grocery,460.19,8,3.9,June,3681.52
ORD-00098,Michelle Jung,06/21/2026,-,michelle.jung45@gmail.com,(509) 585-5634,Clothing,188.67,2,2.4,June,377.34
ORD-00101,Giovanni Yaakov,06/22/2026,-,giovanni.yaakov85@icloud.com,(404) 380-0118,Grocery,200.78,1,2.8,June,200.78
ORD-00102,Unkown Unkown,06/22/2026,Male,cyril.grimaldi7@icloud.com,(808) 526-6751,Clothing,446.75,5,2.8,June,2233.75
ORD-00103,Tasi Ramkissoon,06/22/2026,Female,tasi.ramkissoon33@hotmail.com,(251) 238-0068,Grocery,84.07,6,3.7,June,504.42
ORD-00104,Rosa Safwat,06/22/2026,-,rosa.safwat66@icloud.com,(281) 561-4309,Clothing,233.62,3,2.2,June,700.86
ORD-00105,Christina Malkhasyan,06/23/2026,Female,christina.malkhasyan77@outlook.com,(415) 564-7977,Toys,484.14,3,2.1,June,1452.42
ORD-00106,Adam Susanto,06/23/2026,Male,Invalid email,Unknown,Beauty,242.5,2,3.5,June,485.0
ORD-00107,Daniele Cecilia,06/23/2026,-,daniele.cecilia83@gmail.com,(248) 990-7966,Not Known,140.4,8,2.3,June,1123.2
ORD-00108,Mansa Morales,06/23/2026,Female,Invalid email,Unknown,Toys,109.13,5,2.1,June,545.65
ORD-00109,Guillaume Dawood,06/23/2026,-,guillaume.dawood63@gmail.com,(404) 961-2591,Home,195.66,5,4.9,June,978.3
ORD-00110,Leticia Jacobsson,06/24/2026,Female,leticia.jacobsson71@fastmail.com,(619) 270-7742,Grocery,92.48,3,1.9,June,277.44
ORD-00111,Bobur Gama,06/24/2026,Male,bobur.gama21@icloud.com,(718) 679-1705,Electronics,333.89,9,3.4,June,3005.01
ORD-00112,Christian Soteriou,06/24/2026,Male,christian.soteriou21@gmail.com,(804) 485-7294,Electronics,391.76,2,2.8,June,783.52
ORD-00113,Bouasone Kanto,05/05/2026,-,bouasone.kanto17@gmail.com,(312) 782-0471,Clothing,264.83,9,4.1,May,2383.47
ORD-00114,Ivy Phillips,06/24/2026,-,ivy.phillips81@gmail.com,(559) 261-0549,Toys,241.84,9,2.6,June,2176.56
ORD-00115,Yao Zaanoun,06/24/2026,Male,yao.zaanoun90@me.com,(661) 858-8244,Clothing,42.54,9,1.9,June,382.86
ORD-00116,Rim Flores,05/05/2026,Female,rim.flores92@gmail.com,(509) 367-8868,Toys,364.72,5,1.4,May,1823.6
ORD-00117,Luka Cissokho,06/25/2026,Male,luka.cissokho96@gmail.com,(858) 372-7003,Clothing,443.62,3,4.1,June,1330.86
ORD-00118,Jonathan Twaissi,06/25/2026,-,jonathan.twaissi69@gmail.com,(678) 807-5318,Clothing,90.21,9,2.3,June,811.89
ORD-00119,Josiane Salimov,06/25/2026,Female,Invalid email,Unknown,Home,380.43,7,3.6,June,2663.01
ORD-00120,Pascal Torres,06/25/2026,-,pascal.torres53@gmail.com,(205) 530-6632,Toys,321.83,8,3.1,June,2574.64
ORD-00121,Patrick Bwalya,06/26/2026,Male,patrick.bwalya77@icloud.com,(717) 777-2772,Clothing,346.97,5,3.9,June,1734.85
ORD-00122,Asdkjh,05/05/2026,Male,smart.guzmán61@icloud.com,(254) 368-6504,Beauty,140.33,3,2.9,May,420.99
ORD-00124,Mercy Sheehan,06/26/2026,Female,mercy.sheehan93@gmail.com,(562) 716-7018,Beauty,425.23,4,2.7,June,1700.92
ORD-00126,Guri Vanegas,05/05/2026,Female,guðrið.vanegas87@aol.com,(818) 540-0243,Clothing,137.11,10,5.0,May,1371.1
ORD-00127,Marcus Martino,06/27/2026,Male,marcus.martino83@gmail.com,(603) 249-1930,Grocery,98.36,9,3.5,June,885.24
ORD-00128,Galuh Erjav,06/27/2026,-,galuh.žerjav61@gmail.com,(719) 910-9883,Electronics,119.21,3,1.0,June,357.63
ORD-00129,Annabelle Tutein,06/27/2026,-,annabelle.tutein5@proton.me,(763) 336-9246,Electronics,209.78,10,6.5,June,2097.8
ORD-00130,Ricardo Colon,06/27/2026,Male,ricardo.colon31@gmail.com,(508) 453-3746,Not Known,345.38,6,2.7,June,2072.28
ORD-00131,Lisa Ghariani,06/27/2026,-,lisa.ghariani50@gmail.com,(610) 549-9064,Beauty,57.43,9,4.8,June,516.87
ORD-00132,Melvin Sabir,06/27/2026,Male,melvin.sabir38@gmail.com,(281) 419-0103,Electronics,461.94,5,1.7,June,2309.7
ORD-00134,Alphonso Martinez,06/28/2026,-,alphonso.martinez97@icloud.com,(661) 750-6131,Electronics,282.33,4,4.3,June,1129.32
ORD-00135,Thomas Jennings,06/28/2026,-,thomas.jennings45@icloud.com,(954) 606-5032,Toys,242.5,10,2.9,June,2425.0
ORD-00137,Unkown Unkown,06/28/2026,-,Invalid email,(704) 525-0304,Home,421.43,7,2.9,June,2950.01
ORD-00138,Jarin Ranasinghe,05/05/2026,Female,jarin.ranasinghe87@gmail.com,(573) 731-4344,Home,242.5,3,2.8,May,727.5
ORD-00139,Lucy Ballantine,06/29/2026,Female,lucy.ballantine54@outlook.com,(302) 874-3774,Beauty,216.82,7,1.9,June,1517.74
ORD-00140,Ngozi Ekane,06/29/2026,-,ngozi.ekane63@icloud.com,(719) 418-5925,Not Known,30.52,7,6.5,June,213.64
ORD-00141,Valerie Aljohani,06/29/2026,Female,valerie.al-johani52@yahoo.com,(813) 655-6357,Grocery,319.58,6,2.6,June,1917.48
ORD-00142,Milada Cole,05/05/2026,-,milada.cole92@icloud.com,(772) 646-7371,Beauty,98.83,9,2.5,May,889.47
ORD-00143,Haya Nicolaidis,06/30/2026,Female,haya.nicolaidis24@gmail.com,(205) 253-3531,Toys,155.0,8,4.3,June,1240.0
ORD-00144,Jeannette Xu,06/30/2026,Female,jeannette.xu68@gmail.com,(518) 469-8179,Home,363.42,7,4.0,June,2543.94
ORD-00146,Athian Debnath,06/30/2026,-,athian.debnath30@gmail.com,(919) 843-6953,Beauty,242.5,8,4.2,June,1940.0
ORD-00147,Matthew Perkins,06/30/2026,Male,matthew.perkins58@gmail.com,(772) 354-1145,Not Known,210.1,5,2.9,June,1050.5
ORD-00148,Zora Alhashimi,07/01/2026,-,zora.al-hashimi79@gmail.com,(913) 415-8773,Grocery,294.27,5,3.8,July,1471.35
ORD-00149,Unkown Unkown,07/01/2026,-,xiang.ayala4@icloud.com,(309) 410-3758,Home,36.91,3,3.5,July,110.73
ORD-00150,Oi Yee Grygorenko,07/01/2026,-,Invalid email,Unknown,Not Known,242.5,4,2.8,July,970.0
ORD-00151,Ana Benmalek,05/05/2026,Female,ana.benmalek63@icloud.com,(334) 371-4668,Home,89.74,2,1.1,May,179.48
ORD-00152,Hanum Renaud,07/01/2026,-,Invalid email,(901) 953-8144,Grocery,393.15,3,1.7,July,1179.45
ORD-00153,Jamilah Campana,05/05/2026,-,jamilah.campana76@icloud.com,(816) 817-1575,Not Known,458.6,9,4.2,May,4127.4
ORD-00154,Frederick Yaalon,07/02/2026,Male,frederick.yaalon13@gmail.com,(361) 829-5043,Electronics,196.23,10,3.5,July,1962.3
ORD-00155,Violet Alizada,07/02/2026,-,violet.alizada42@gmail.com,(808) 458-2285,Grocery,263.97,9,10.0,July,2375.73
ORD-00156,Sopheak Kairys,07/02/2026,Male,sopheak.kairys60@icloud.com,(904) 404-6831,Clothing,406.3,3,2.4,July,1218.9
ORD-00157,Wangechi Enchev,07/02/2026,Female,wangechi.enchev2@gmail.com,(281) 972-6609,Grocery,333.13,5,2.7,July,1665.65
ORD-00158,Josephine Alamiri,07/03/2026,Female,josephine.al-amiri46@gmail.com,(202) 894-5577,Home,242.5,4,3.5,July,970.0
ORD-00159,Linda Toi,07/02/2026,Female,linda.tošić37@gmail.com,(954) 504-7536,Home,144.51,1,3.4,July,144.51
ORD-00160,Lisiate Mokalake,07/03/2026,Male,lisiate.mokalake51@icloud.com,(251) 651-3557,Grocery,190.8,5,3.1,July,954.0
ORD-00161,Nicole Simon,05/05/2026,-,nicole.simon87@gmail.com,(405) 287-6182,Toys,468.71,2,2.8,May,937.42
ORD-00164,Hendrik Fettah,07/03/2026,Male,hendrik.fettah36@yahoo.com,(602) 433-9860,Grocery,495.05,9,2.2,July,4455.45
ORD-00166,Adrienne Griffin,07/04/2026,-,adrienne.griffin93@hotmail.com,(202) 455-0090,Home,381.56,8,2.8,July,3052.48
ORD-00167,Rachel Tum,07/04/2026,-,rachel.tum61@yahoo.com,(206) 879-6096,Clothing,408.15,5,1.1,July,2040.75
ORD-00168,Luna Kaneko,07/04/2026,Female,luna.kaneko74@gmail.com,(209) 872-8344,Not Known,411.32,5,2.5,July,2056.6
ORD-00169,Kholid Anderson,07/04/2026,-,kholid.anderson80@gmail.com,(623) 694-5547,Not Known,496.84,6,2.6,July,2981.04
ORD-00170,Ronald Byrd,07/05/2026,Male,ronald.byrd9@gmail.com,(214) 855-8557,Home,238.8,3,2.9,July,716.4
ORD-00171,Pougouli Harris,07/05/2026,-,pougouli.harris4@gmail.com,(214) 283-5491,Home,359.6,3,2.3,July,1078.8
ORD-00172,Gregory Elcock,07/05/2026,-,gregory.elcock81@gmail.com,(318) 555-8967,Home,128.1,3,2.8,July,384.3
ORD-00173,Amira Matemba,05/05/2026,Female,amira.matemba11@gmail.com,Unknown,Home,407.86,9,2.4,May,3670.74
ORD-00174,Elina Gomez,07/05/2026,-,elina.gomez65@icloud.com,(505) 262-5151,Grocery,271.12,5,2.5,July,1355.6
ORD-00175,Monica Larsen,07/06/2026,-,monica.larsen16@gmail.com,(304) 500-2144,Home,123.52,9,2.0,July,1111.68
ORD-00176,Adam Bells,07/06/2026,-,adam.bells92@icloud.com,Unknown,Home,494.52,4,4.2,July,1978.08
ORD-00177,Rani Thomas,07/06/2026,Male,Invalid email,(412) 470-9590,Not Known,290.09,100,2.8,July,29009.0
ORD-00178,Mariah Mukasa,07/06/2026,Female,mariah.mukasa29@gmail.com,(213) 607-7996,Home,23.36,2,2.2,July,46.72
ORD-00180,Philippe Nakku,07/07/2026,Male,philippe.nakku57@gmail.com,(419) 978-6392,Grocery,70.55,4,3.9,July,282.2
ORD-00181,Margarete Butler,07/07/2026,-,margarete.butler68@gmail.com,(336) 541-3309,Grocery,191.11,3,2.1,July,573.33
ORD-00182,Lukusa Edri,07/07/2026,Male,Invalid email,(515) 919-4017,Grocery,280.75,10,0.0,July,2807.5
ORD-00183,Alfredo Ranjbar,07/07/2026,Male,alfredo.ranjbar16@gmail.com,(510) 787-3667,Grocery,211.07,4,2.8,July,844.28
ORD-00184,Fernando Terry,07/07/2026,Male,fernando.terry27@outlook.com,(702) 417-9098,Not Known,474.34,1,3.2,July,474.34
ORD-00185,Unkown Unkown,07/08/2026,-,lamin.stevens88@gmail.com,(865) 662-7021,Beauty,83.84,7,4.2,July,586.88
ORD-00186,Marcus Gabay,07/08/2026,Male,marcus.gabay95@gmail.com,Unknown,Toys,491.23,3,1.6,July,1473.69
ORD-00187,Maya Iheanacho,07/08/2026,Female,maya.iheanacho87@icloud.com,(561) 894-1930,Grocery,46.05,6,4.5,July,276.3
ORD-00188,Sushmita Kimpolo,07/08/2026,Female,sushmita.kimpolo41@hotmail.com,(918) 800-1328,Clothing,236.38,4,4.0,July,945.52
ORD-00189,Thomson Seerattan,07/08/2026,Male,thomson.seerattan65@gmail.com,(319) 828-1241,Not Known,242.5,6,2.8,July,1455.0
ORD-00190,Zeinabou Eriksen,07/08/2026,-,zeinabou.eriksen17@gmail.com,(860) 391-8847,Home,14.41,9,3.1,July,129.69
ORD-00191,Graciela Zedginidze,07/09/2026,-,graciela.zedginidze20@gmail.com,(412) 264-9634,Not Known,97.31,6,4.2,July,583.86
ORD-00192,Rita Fuchs,07/09/2026,Female,rita.fuchs27@hotmail.com,(915) 538-1319,Not Known,305.14,7,3.2,July,2135.98
ORD-00193,Giulia Chiriac,07/09/2026,-,giulia.chiriac41@hotmail.com,(916) 952-2325,Beauty,198.88,6,3.2,July,1193.28
ORD-00194,Chloe Te Awa,07/09/2026,-,Invalid email,(212) 432-0547,Toys,174.05,4,2.7,July,696.2
ORD-00196,Alemayehu Prez,05/05/2026,-,alemayehu.pérez95@gmail.com,(305) 252-2203,Toys,358.55,3,5.0,May,1075.65
ORD-00197,Eldin Benmohamed,07/10/2026,Male,Invalid email,Unknown,Home,246.94,1,1.8,July,246.94
ORD-00198,Tufuga Octave,07/10/2026,-,tufuga.octave70@gmail.com,(210) 774-8239,Home,498.12,8,1.3,July,3984.96
ORD-00199,Fatuma Morales,07/10/2026,-,fatuma.morales4@icloud.com,(253) 830-2018,Clothing,49.42,4,3.0,July,197.68
ORD-00200,Unkown Unkown,07/10/2026,-,azza.prudent77@gmail.com,(215) 592-9577,Clothing,148.42,7,3.3,July,1038.94
ORD-00201,Lama Kgosiemang,07/10/2026,-,lama.kgosiemang1@icloud.com,(915) 834-4387,Grocery,111.4,2,4.0,July,222.8
ORD-00202,Miguel Pun,07/11/2026,-,miguel.păun54@gmail.com,(972) 687-9027,Beauty,99.04,9,2.8,July,891.36
ORD-00203,Octavio Nunes,07/11/2026,-,octavio.nunes82@charter.net,(269) 293-2225,Electronics,29.3,9,1.3,July,263.7
ORD-00204,Ellen Hewitt,07/11/2026,Female,ellen.hewitt4@icloud.com,(813) 817-0420,Toys,65.93,4,4.6,July,263.72
ORD-00205,Olusola Castillo,07/11/2026,-,olusola.castillo18@gmail.com,Unknown,Clothing,495.73,5,2.4,July,2478.65
ORD-00206,Gundega Al Kooheji,07/11/2026,-,Invalid email,(915) 594-9284,Clothing,202.99,5,4.0,July,1014.95
ORD-00207,Hussain Akech,07/11/2026,-,hussain.akech9@gmail.com,(619) 719-2993,Electronics,17.92,5,2.8,July,89.6
ORD-00208,Nina Sifaw Siala,07/12/2026,-,Invalid email,(617) 424-0791,Electronics,245.09,6,3.8,July,1470.54
ORD-00209,Margarete Abu Laban,07/12/2026,Female,Invalid email,(804) 818-9963,Beauty,442.32,3,1.7,July,1326.96
ORD-00210,Nusaiba Nash,07/12/2026,Female,nusaiba.nash32@gmail.com,Unknown,Beauty,66.55,5,1.2,July,332.75
ORD-00212,Khensani Griffin,07/12/2026,Female,khensani.griffin44@gmail.com,Unknown,Electronics,405.12,7,2.8,July,2835.84
ORD-00213,Unkown Unkown,07/13/2026,-,justin.shillingford87@gmail.com,(337) 622-6060,Clothing,327.14,2,2.9,July,654.28
ORD-00214,Beatriz Essomba,07/13/2026,Female,Invalid email,(228) 604-3712,Clothing,121.13,5,1.3,July,605.65
ORD-00215,Aom Anwar,07/13/2026,Female,aom.anwar22@icloud.com,(727) 598-0295,Toys,486.38,5,2.9,July,2431.9
ORD-00216,Zachariah Sharma,07/13/2026,Male,zachariah.sharma11@yahoo.com,(801) 366-4767,Toys,455.91,3,2.2,July,1367.73
ORD-00217,Venla Mattila,07/13/2026,Female,Invalid email,Unknown,Clothing,41.56,7,1.4,July,290.92
ORD-00219,Yassira Pintr,05/05/2026,-,yassira.pintér27@yahoo.com,(727) 696-9923,Not Known,211.87,5,4.7,May,1059.35
ORD-00221,Samuel Marshall,07/14/2026,Male,samuel.marshall24@gmail.com,(719) 566-8278,Toys,424.2,6,2.4,July,2545.2
ORD-00222,Mona Peltonen,05/05/2026,Female,mona.peltonen26@icloud.com,(915) 782-7449,Beauty,361.91,9,3.6,May,3257.19
